lazyEitherInstance,4
tuple4B,4
`subst`,4
tuple3B,4
unsubst,4
zipB,4
ReaderT,4
span,4
SplitSyntax,4
`andThen`,4
EnumOps,4
left-to-right,4
GM,4
FM,4
LazyEitherTFunctor,4
meaningful,4
operand,4
constrained,4
src,4
arbitrary,4
TODO,4
accumulating,4
BifunctorSyntax,4
`apply`,4
umap,4
`scalaz,4
completion,4
param,4
&,4
resumption,4
category,4
allowing,4
concatThis,4
define,4
Template,4
concatThat,4
BifoldableSyntax,4
LeibnizGroupoid,4
work,4
foldable,4
util,4
f0,4
TraverseLaw,4
bifoldR,4
gosub,4
Forall,4
Foldable1Syntax,4
dualMonoid,4
intercalate1,4
means,4
retrieve,4
minimumBy1,4
transitioning,4
NFA,4
minimum1,4
maximumBy1,4
label,4
draw,4
∧,4
xmapA,4
splitA,4
maximum1,4
foldl1,4
siblings,4
xmapB,4
foldr1,4
Parents,4
CoproductFunctions,4
UnapplyProduct,4
OrderingFunctions,4
intercalate,4
minimumBy,4
splitChildren,4
minimumOf,4
maximumBy,4
better,4
maximumOf,4
lifts,4
>-,4
Lenses,4
ltr,4
it's,4
toIList,4
OrderSyntax,4
foldl1Opt,4
Add,4
foldl,4
optA,4
LensInstances,4
foldr1Opt,4
optB,4
